Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
12/04/2021,374.00,382.00,366.00,367.00, -8.00, -2.13,"4,692,390","1,758,458.82"
09/04/2021,372.00,386.00,372.00,375.00, -3.00, -0.79,"6,096,406","2,309,450.63"
08/04/2021,377.00,381.00,364.00,378.00, +16.00, +4.42,"7,741,030","2,892,455.97"
07/04/2021,373.00,397.00,360.00,362.00, -17.00, -4.49,"10,542,677","4,025,259.14"
05/04/2021,371.00,389.00,352.00,379.00, +26.00, +7.37,"15,094,041","5,642,613.09"
02/04/2021,330.00,359.00,330.00,353.00, +29.00, +8.95,"13,631,420","4,781,941.85"
01/04/2021,294.00,326.00,291.00,324.00, +34.00, +11.72,"11,618,788","3,624,576.98"
31/03/2021,300.00,302.00,290.00,290.00, -9.00, -3.01,"2,809,445","824,506.73"
30/03/2021,291.00,304.00,290.00,299.00, +11.00, +3.82,"4,827,277","1,438,817.84"
29/03/2021,292.00,295.00,287.00,288.00, -2.00, -0.69,"1,956,744","569,592.50"
26/03/2021,293.00,301.00,287.00,290.00, +1.00, +0.35,"4,106,741","1,206,137.47"
25/03/2021,311.00,311.00,289.00,289.00, -21.00, -6.77,"4,894,272","1,447,091.79"
24/03/2021,289.00,315.00,286.00,310.00, +20.00, +6.90,"5,119,078","1,561,481.02"
23/03/2021,305.00,306.00,290.00,290.00, -13.00, -4.29,"2,699,098","796,573.90"
22/03/2021,313.00,317.00,303.00,303.00, -11.00, -3.50,"2,417,095","746,685.46"
19/03/2021,316.00,326.00,314.00,314.00, -6.00, -1.88,"8,729,969","2,752,442.82"
18/03/2021,331.00,339.00,320.00,320.00, -1.00, -0.31,"3,232,008","1,061,213.13"
17/03/2021,328.00,330.00,317.00,321.00, -10.00, -3.02,"3,113,438","1,004,550.87"
16/03/2021,343.00,345.00,328.00,331.00, -14.00, -4.06,"3,284,380","1,098,538.32"
15/03/2021,350.00,355.00,342.00,345.00, +1.00, +0.29,"2,236,849","774,327.98"
12/03/2021,376.00,388.00,343.00,344.00, -26.00, -7.03,"7,520,905","2,741,954.96"
11/03/2021,347.00,380.00,338.00,370.00, +28.00, +8.19,"6,900,199","2,508,250.82"
10/03/2021,348.00,357.00,342.00,342.00, -1.00, -0.29,"3,359,865","1,168,628.07"
09/03/2021,360.00,368.00,338.00,343.00, +3.00, +0.88,"3,777,915","1,327,801.76"
08/03/2021,370.00,370.00,330.00,340.00, -32.00, -8.60,"2,826,431","986,935.78"
