Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
09/04/2021,39.00,39.75,39.00,39.25, +0.25, +0.64,"51,528,106","2,028,625.40"
08/04/2021,39.25,39.50,39.00,39.00, -0.50, -1.27,"37,577,376","1,475,281.32"
07/04/2021,39.75,40.00,39.25,39.50, -0.50, -1.25,"83,412,450","3,302,972.92"
05/04/2021,40.50,40.75,40.00,40.00, -0.50, -1.23,"28,927,975","1,162,547.94"
02/04/2021,41.25,41.25,40.50,40.50, -0.25, -0.61,"40,792,679","1,665,816.35"
01/04/2021,41.00,41.25,40.75,40.75, -0.25, -0.61,"56,150,456","2,301,481.13"
31/03/2021,40.50,41.25,40.50,41.00, +0.25, +0.61,"57,146,328","2,335,590.59"
30/03/2021,41.00,41.25,40.50,40.75, 0.00, 0.00,"45,200,122","1,842,898.32"
29/03/2021,40.50,41.00,40.25,40.75, +0.50, +1.24,"49,697,247","2,024,526.54"
26/03/2021,40.25,40.50,40.00,40.25, 0.00, 0.00,"23,501,468","944,818.02"
25/03/2021,40.25,40.50,40.00,40.25, 0.00, 0.00,"41,439,456","1,668,354.01"
24/03/2021,40.00,40.25,39.75,40.25, 0.00, 0.00,"45,441,818","1,815,012.00"
23/03/2021,40.25,40.50,40.00,40.25, -0.25, -0.62,"35,995,897","1,448,927.93"
22/03/2021,40.50,40.75,40.00,40.50, 0.00, 0.00,"34,063,324","1,377,317.63"
19/03/2021,40.00,40.50,39.75,40.50, 0.00, 0.00,"80,279,783","3,233,365.04"
18/03/2021,40.75,41.25,40.50,40.50, 0.00, 0.00,"48,939,238","1,996,923.68"
17/03/2021,40.50,40.75,40.00,40.50, -0.25, -0.61,"94,335,079","3,808,186.26"
16/03/2021,41.25,41.25,40.50,40.75, -0.50, -1.21,"63,969,852","2,615,553.84"
15/03/2021,41.75,42.00,41.00,41.25, -0.50, -1.20,"80,608,632","3,336,975.22"
12/03/2021,41.75,42.00,41.25,41.75, +0.25, +0.60,"63,253,079","2,635,515.30"
11/03/2021,41.75,42.00,41.25,41.50, 0.00, 0.00,"61,938,440","2,574,172.07"
10/03/2021,41.00,41.50,40.75,41.50, +0.25, +0.61,"79,876,033","3,289,388.78"
09/03/2021,42.25,42.25,41.00,41.25, -0.75, -1.79,"99,656,771","4,140,568.53"
08/03/2021,41.50,42.50,41.50,42.00, +1.50, +3.70,"131,577,107","5,525,718.90"
05/03/2021,40.25,41.25,40.25,40.50, +0.50, +1.25,"90,378,169","3,685,813.78"
04/03/2021,40.25,40.50,40.00,40.00, -1.00, -2.44,"105,604,737","4,249,333.82"
03/03/2021,40.00,41.00,40.00,41.00, +1.25, +3.14,"96,599,399","3,926,281.83"
02/03/2021,39.75,40.25,39.50,39.75, -0.25, -0.62,"54,748,234","2,178,004.95"
01/03/2021,40.00,40.25,39.75,40.00, 0.00, 0.00,"55,523,252","2,222,194.94"
25/02/2021,40.25,40.75,39.75,40.00, +0.50, +1.27,"115,941,902","4,663,950.69"
24/02/2021,40.50,40.75,39.50,39.50, -1.00, -2.47,"88,011,136","3,515,194.30"
23/02/2021,40.25,41.25,40.00,40.50, +0.50, +1.25,"98,312,096","4,002,733.09"
22/02/2021,40.00,40.50,39.50,40.00, 0.00, 0.00,"57,022,341","2,277,924.83"
19/02/2021,40.00,40.25,39.50,40.00, -0.50, -1.23,"60,705,684","2,426,760.07"
18/02/2021,40.75,41.50,40.00,40.50, -0.25, -0.61,"78,157,112","3,175,306.90"
17/02/2021,41.00,41.25,40.50,40.75, -0.50, -1.21,"46,673,298","1,908,333.36"
16/02/2021,41.75,42.00,41.25,41.25, 0.00, 0.00,"69,610,406","2,891,997.00"
15/02/2021,40.75,41.50,40.75,41.25, +1.00, +2.48,"84,929,398","3,494,327.36"
11/02/2021,41.00,41.25,40.00,40.25, -0.50, -1.23,"63,460,307","2,561,015.05"
10/02/2021,41.00,41.25,40.25,40.75, -0.25, -0.61,"73,790,686","3,004,652.79"
09/02/2021,41.00,41.75,40.75,41.00, +0.75, +1.86,"135,199,105","5,573,213.79"
08/02/2021,39.50,40.75,39.25,40.25, +1.25, +3.21,"128,578,767","5,170,133.10"
05/02/2021,38.75,39.50,38.50,39.00, +0.75, +1.96,"103,587,293","4,041,632.72"
04/02/2021,38.75,38.75,38.00,38.25, 0.00, 0.00,"92,024,283","3,535,941.74"
03/02/2021,39.25,39.50,38.00,38.25, -0.50, -1.29,"103,559,129","4,000,432.87"
02/02/2021,39.75,40.00,38.75,38.75, -0.50, -1.27,"123,446,347","4,836,788.10"
01/02/2021,37.50,39.25,37.00,39.25, +1.50, +3.97,"161,467,368","6,198,106.73"
29/01/2021,38.75,39.00,37.75,37.75, -0.75, -1.95,"99,192,405","3,774,184.33"
28/01/2021,39.00,39.00,38.50,38.50, -0.75, -1.91,"78,551,936","3,039,585.26"
27/01/2021,39.50,39.75,39.25,39.25, -0.50, -1.26,"53,770,983","2,120,241.31"
26/01/2021,39.75,40.00,39.25,39.75, -0.25, -0.62,"66,237,010","2,625,159.04"
25/01/2021,39.50,40.50,39.50,40.00, +0.50, +1.27,"78,817,798","3,152,694.17"
22/01/2021,40.25,40.75,39.50,39.50, -1.25, -3.07,"105,690,661","4,227,894.60"
21/01/2021,41.50,41.50,40.50,40.75, -0.25, -0.61,"73,932,313","3,027,497.74"
20/01/2021,41.25,41.75,41.00,41.00, 0.00, 0.00,"93,369,246","3,850,661.85"
19/01/2021,42.25,42.50,41.00,41.00, -1.50, -3.53,"154,610,835","6,423,462.05"
18/01/2021,43.00,43.25,42.00,42.50, -0.75, -1.73,"82,974,602","3,519,581.37"
15/01/2021,44.25,44.75,43.00,43.25, -0.75, -1.70,"131,599,851","5,751,072.60"
14/01/2021,44.50,44.75,44.00,44.00, -0.50, -1.12,"66,932,663","2,968,503.15"
13/01/2021,44.00,45.00,44.00,44.50, +0.75, +1.71,"129,838,326","5,777,359.88"
12/01/2021,43.00,44.00,42.50,43.75, +0.75, +1.74,"101,275,829","4,382,323.24"
11/01/2021,42.75,43.00,42.50,43.00, +0.25, +0.58,"45,556,270","1,949,659.60"
08/01/2021,42.75,43.50,42.00,42.75, +0.25, +0.59,"83,703,244","3,578,404.89"
07/01/2021,43.00,43.25,42.25,42.50, -0.25, -0.58,"63,134,421","2,695,907.17"
06/01/2021,43.00,43.50,42.50,42.75, +0.75, +1.79,"88,571,714","3,802,159.40"
05/01/2021,42.25,42.50,41.25,42.00, -0.50, -1.18,"75,950,450","3,185,380.74"
04/01/2021,41.00,42.75,40.75,42.50, 0.00, 0.00,"75,139,072","3,140,335.27"
30/12/2020,43.25,43.25,42.25,42.50, 0.00, 0.00,"67,300,181","2,873,185.90"
29/12/2020,41.25,42.50,41.00,42.50, +1.50, +3.66,"41,051,149","1,717,568.28"
28/12/2020,42.25,42.75,41.00,41.00, -1.00, -2.38,"61,432,460","2,556,406.10"
25/12/2020,41.25,42.25,41.25,42.00, +0.75, +1.82,"32,818,403","1,367,617.33"
24/12/2020,40.75,41.50,40.75,41.25, +1.00, +2.48,"45,809,662","1,879,254.50"
23/12/2020,41.00,41.75,40.25,40.25, -1.00, -2.42,"122,214,285","4,972,359.47"
22/12/2020,40.75,41.75,40.00,41.25, +0.75, +1.85,"154,307,744","6,282,132.40"
21/12/2020,41.75,42.25,40.50,40.50, -2.25, -5.26,"107,245,946","4,442,528.98"
